domain	seed	status	exit_code	duration_seconds	train_iteration	train_solved	test_iteration	test_solved	run_log	stdout_log	checkpoint
re2	111	ok	0	2098	0	6/491	0	0/500	experiments_iterative/outputs/paperfaithful_init_seed111_20260507/domains/re2/dreamcoder/seed_111/dreamcoder_32/run.log	<original-workspace>/Info/full_lilo_runs/paperfaithful_init_seed111_20260507/re2_seed_111.stdout.log	experiments_iterative/outputs/paperfaithful_init_seed111_20260507/domains/re2/dreamcoder/seed_111/dreamcoder_32
clevr	111	ok	0	1375	0	14/191	0	0/103	experiments_iterative/outputs/paperfaithful_init_seed111_20260507/domains/clevr/dreamcoder/seed_111/dreamcoder_32/run.log	<original-workspace>/Info/full_lilo_runs/paperfaithful_init_seed111_20260507/clevr_seed_111.stdout.log	experiments_iterative/outputs/paperfaithful_init_seed111_20260507/domains/clevr/dreamcoder/seed_111/dreamcoder_32
logo	111	ok	0	3882	0	8/199	0	0/111	experiments_iterative/outputs/paperfaithful_init_seed111_20260507/domains/logo/dreamcoder/seed_111/dreamcoder_32/run.log	<original-workspace>/Info/full_lilo_runs/paperfaithful_init_seed111_20260507/logo_seed_111.stdout.log	experiments_iterative/outputs/paperfaithful_init_seed111_20260507/domains/logo/dreamcoder/seed_111/dreamcoder_32
